episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
280,hard,235.24,56,1,-5,0,0.02,6.44,442.11,1.84,11,28,66.07
281,hard,207.71,36,1,5,0,0.02,4.58,439.52,1.83,4,21,77.78
282,hard,430.99,58,2,25,0,0.02,6.73,440.14,1.84,5,33,72.41
283,hard,824.8,232,4,80,0,0.02,27.88,443.57,1.86,90,57,60.78
284,hard,550.02,219,2,20,0,0.02,27.41,442.86,1.86,62,42,60.27
285,hard,684.41,184,3,25,0,0.02,22.11,447.89,1.88,18,49,54.35
286,hard,868.08,246,4,90,0,0.02,35.59,452.86,1.9,54,59,49.59
287,hard,650.39,203,2,-10,0,0.02,25.72,454.64,1.9,23,72,52.22
288,hard,786.05,164,4,55,0,0.02,18.88,460.21,1.93,35,53,56.1
289,hard,821.64,246,4,75,0,0.02,24.3,463.81,1.95,87,56,52.44
290,hard,981.2,321,4,95,0,0.02,32.95,468.88,1.97,90,76,52.34
291,hard,403.85,60,2,55,0,0.02,6.82,468.22,1.97,5,31,70.0
292,hard,488.61,178,2,25,0,0.02,16.92,469.12,1.97,75,42,57.87
293,hard,437.31,78,2,10,0,0.02,7.87,467.39,1.97,15,40,67.95
294,hard,499.88,128,2,5,0,0.02,12.8,468.42,1.97,15,52,55.47
295,hard,382.17,56,2,20,0,0.02,6.38,468.39,1.98,6,28,73.21
296,hard,831.13,162,4,60,0,0.02,17.15,472.4,2.0,38,68,61.73
297,hard,396.52,103,2,45,0,0.02,10.0,463.83,1.97,39,31,74.76
298,hard,471.68,97,2,20,0,0.02,10.5,464.6,1.97,12,45,59.79
299,hard,429.1,87,2,10,0,0.02,9.26,458.94,1.95,10,35,56.32
300,hard,603.98,95,3,40,0,0.02,9.4,460.65,1.96,13,46,66.32
301,hard,204.2,32,1,-15,0,0.02,4.13,457.88,1.95,1,22,75.0
302,hard,224.53,66,1,-15,0,0.02,7.54,458.33,1.95,11,28,57.58
303,hard,413.94,74,2,30,0,0.02,6.77,458.96,1.96,7,35,64.86
304,hard,460.64,97,2,15,0,0.02,9.82,462.7,1.98,14,38,64.95
305,hard,608.16,117,3,90,0,0.02,10.87,466.55,2.0,21,44,57.26
306,hard,446.81,90,2,10,0,0.02,9.06,468.74,2.01,9,33,66.67
307,hard,421.52,105,2,5,0,0.02,9.98,470.82,2.02,21,35,61.9
308,hard,184.43,23,1,-5,0,0.02,2.43,470.45,2.02,0,15,78.26
309,hard,398.98,53,2,25,0,0.02,6.65,470.7,2.03,4,29,64.15
310,hard,194.34,28,1,-5,0,0.02,3.13,469.19,2.03,1,18,75.0
311,hard,461.89,92,2,10,0,0.02,9.67,469.05,2.04,15,41,68.48
312,hard,446.06,95,2,30,0,0.02,9.74,470.34,2.05,25,35,62.11
313,hard,715.9,163,3,50,0,0.02,16.2,465.92,2.03,19,56,58.9
314,hard,409.6,58,2,35,0,0.02,6.73,466.45,2.03,5,30,67.24
315,hard,289.48,85,1,-20,0,0.02,9.03,465.12,2.02,9,37,60.0
316,hard,657.75,190,2,60,0,0.02,22.18,466.33,2.02,29,81,54.21
317,hard,649.62,234,2,30,0,0.02,22.2,468.14,2.02,72,83,54.27
318,hard,416.91,52,2,30,0,0.02,5.59,469.7,2.03,8,33,73.08
319,hard,438.87,120,2,15,0,0.02,12.24,472.0,2.04,52,41,65.0
320,hard,435.56,65,2,30,0,0.02,8.5,474.34,2.05,2,30,64.62
321,hard,378.96,45,2,45,0,0.02,3.3,473.41,2.05,2,27,71.11
322,hard,748.97,111,4,95,0,0.02,9.82,473.25,2.06,23,48,62.16
323,hard,803.56,142,4,125,0,0.02,13.57,479.04,2.09,38,56,56.34
324,hard,442.85,88,2,25,0,0.02,8.44,478.32,2.09,24,37,70.45
